region_from,region_to,spillover_pct
ABA,ABA,0
ABA,AHU,0
ABA,AJA,0
ABA,AMA,0
ABA,AQA,0
ABA,ARI,0
ABA,ASH,0
ABA,ASI,0.25
ABA,HAI,0
ABA,JAZ,0
ABA,MAK,0.25
ABA,NAJ,0
ABA,TAB,0
AHU,ABA,0
AHU,AHU,0
AHU,AJA,0.25
AHU,AMA,0
AHU,AQA,0
AHU,ARI,0
AHU,ASH,0
AHU,ASI,0
AHU,HAI,0
AHU,JAZ,0
AHU,MAK,0
AHU,NAJ,0
AHU,TAB,0.25
AJA,ABA,0
AJA,AHU,0.25
AJA,AJA,0
AJA,AMA,0
AJA,AQA,0
AJA,ARI,0
AJA,ASH,0
AJA,ASI,0
AJA,HAI,0.25
AJA,JAZ,0
AJA,MAK,0
AJA,NAJ,0
AJA,TAB,0.25
AMA,ABA,0
AMA,AHU,0
AMA,AJA,0
AMA,AMA,0
AMA,AQA,0.25
AMA,ARI,0.25
AMA,ASH,0
AMA,ASI,0
AMA,HAI,0
AMA,JAZ,0
AMA,MAK,0.25
AMA,NAJ,0
AMA,TAB,0.25
AQA,ABA,0
AQA,AHU,0
AQA,AJA,0
AQA,AMA,0.25
AQA,AQA,0
AQA,ARI,0.25
AQA,ASH,0
AQA,ASI,0
AQA,HAI,0.25
AQA,JAZ,0
AQA,MAK,0
AQA,NAJ,0
AQA,TAB,0
ARI,ABA,0
ARI,AHU,0
ARI,AJA,0
ARI,AMA,0.25
ARI,AQA,0.25
ARI,ARI,0
ARI,ASH,0.25
ARI,ASI,0
ARI,HAI,0.25
ARI,JAZ,0
ARI,MAK,0
ARI,NAJ,0.25
ARI,TAB,0
ASH,ABA,0
ASH,AHU,0
ASH,AJA,0
ASH,AMA,0
ASH,AQA,0
ASH,ARI,0.25
ASH,ASH,0
ASH,ASI,0.25
ASH,HAI,0
ASH,JAZ,0
ASH,MAK,0
ASH,NAJ,0.25
ASH,TAB,0
ASI,ABA,0.25
ASI,AHU,0
ASI,AJA,0
ASI,AMA,0
ASI,AQA,0
ASI,ARI,0
ASI,ASH,0.25
ASI,ASI,0
ASI,HAI,0
ASI,JAZ,0.25
ASI,MAK,0
ASI,NAJ,0.25
ASI,TAB,0
HAI,ABA,0
HAI,AHU,0
HAI,AJA,0.25
HAI,AMA,0
HAI,AQA,0.25
HAI,ARI,0.25
HAI,ASH,0
HAI,ASI,0
HAI,HAI,0
HAI,JAZ,0
HAI,MAK,0
HAI,NAJ,0
HAI,TAB,0
JAZ,ABA,0
JAZ,AHU,0
JAZ,AJA,0
JAZ,AMA,0
JAZ,AQA,0
JAZ,ARI,0
JAZ,ASH,0
JAZ,ASI,0.25
JAZ,HAI,0
JAZ,JAZ,0
JAZ,MAK,0
JAZ,NAJ,0.25
JAZ,TAB,0
MAK,ABA,0.25
MAK,AHU,0
MAK,AJA,0
MAK,AMA,0.25
MAK,AQA,0
MAK,ARI,0
MAK,ASH,0
MAK,ASI,0
MAK,HAI,0
MAK,JAZ,0
MAK,MAK,0
MAK,NAJ,0
MAK,TAB,0
NAJ,ABA,0
NAJ,AHU,0
NAJ,AJA,0
NAJ,AMA,0
NAJ,AQA,0
NAJ,ARI,0.25
NAJ,ASH,0.25
NAJ,ASI,0.25
NAJ,HAI,0
NAJ,JAZ,0.25
NAJ,MAK,0
NAJ,NAJ,0
NAJ,TAB,0
TAB,ABA,0
TAB,AHU,0.25
TAB,AJA,0.25
TAB,AMA,0.25
TAB,AQA,0
TAB,ARI,0
TAB,ASH,0
TAB,ASI,0
TAB,HAI,0
TAB,JAZ,0
TAB,MAK,0
TAB,NAJ,0
TAB,TAB,0